Employee_ID,Name,Department,Job_Title,Salary,Joining_Date,Contact_Email,Status
1,Elicia Ratazzi,Human Resources,Staff Accountant IV,Birr,3/2/2023,eratazzi0@amazon.de,Active
2,Meridel Brundale,Accounting,Social Worker,Dollar,9/19/2021,mbrundale1@addthis.com,Active
3,Walsh Scedall,Product Management,Human Resources Assistant III,Ringgit,12/11/2023,wscedall2@technorati.com,Active
4,Barde Kerfoot,Services,Biostatistician IV,Yuan Renminbi,8/19/2022,bkerfoot3@theglobeandmail.com,Active
5,Geralda Beaver,Human Resources,Pharmacist,Real,3/3/2023,gbeaver4@fc2.com,Inactive
6,Erick Solley,Sales,Librarian,Peso,3/26/2021,esolley5@arizona.edu,Active
7,Joline Hallahan,Legal,Information Systems Manager,Dollar,6/16/2021,jhallahan6@pen.io,Active
8,Bernita Cathro,Product Management,Database Administrator II,Ruble,9/23/2023,bcathro7@goo.ne.jp,Active
9,Jeanelle Eblein,Sales,Clinical Specialist,Franc,3/20/2021,jeblein8@mac.com,Inactive
10,Janenna Peare,Accounting,Database Administrator III,Yuan Renminbi,9/6/2023,jpeare9@naver.com,Active
11,Maressa Hullin,Business Development,Mechanical Systems Engineer,Real,3/20/2022,mhullina@dailymotion.com,Inactive
12,Halette Reynalds,Human Resources,Senior Cost Accountant,Yuan Renminbi,6/7/2022,hreynaldsb@discovery.com,Inactive
13,Debi Gawthrope,Services,Occupational Therapist,Euro,12/10/2023,dgawthropec@surveymonkey.com,Active
14,Heriberto Kingsnode,Legal,Account Coordinator,Dong,9/23/2021,hkingsnoded@pbs.org,Inactive
15,Craggie Tembey,Product Management,Chief Design Engineer,Afghani,10/9/2023,ctembeye@bloglines.com,Inactive
16,Chevy Hastelow,Sales,Junior Executive,Rupiah,9/10/2023,chastelowf@shutterfly.com,Active
17,Waly Reichert,Product Management,Administrative Assistant II,Rupiah,7/5/2021,wreichertg@un.org,Inactive
18,Nickolai Alcide,Marketing,Geological Engineer,Real,5/27/2022,nalcideh@sakura.ne.jp,Active
19,Annaliese Loudon,Engineering,Speech Pathologist,Lev,3/19/2021,aloudoni@nsw.gov.au,Inactive
20,Thane Haveline,Research and Development,Legal Assistant,Rupiah,6/30/2021,thavelinej@patch.com,Active
21,Annabell Ismail,Product Management,Chemical Engineer,Euro,11/4/2021,aismailk@google.de,Inactive
22,Harvey Clinkard,Accounting,Recruiting Manager,Yuan Renminbi,11/15/2023,hclinkardl@dmoz.org,Active
23,Harley Purchase,Training,Analog Circuit Design manager,Krona,6/14/2023,hpurchasem@china.com.cn,Active
24,Margaux Montez,Business Development,Occupational Therapist,Yuan Renminbi,7/23/2023,mmontezn@home.pl,Inactive
25,Troy Venneur,Support,Research Associate,Rupiah,6/21/2021,tvenneuro@reference.com,Active
26,Gerrie Sibbe,Marketing,Staff Scientist,Krona,11/12/2022,gsibbep@china.com.cn,Inactive
27,Billye Shepton,Engineering,Analyst Programmer,Euro,10/17/2021,bsheptonq@businesswire.com,Inactive
28,Hersch Witcombe,Legal,Nuclear Power Engineer,Yuan Renminbi,4/29/2023,hwitcomber@washingtonpost.com,Active
29,Jerald Kristoffersen,Services,Environmental Specialist,Ruble,1/8/2023,jkristoffersens@flavors.me,Inactive
30,Melisande Ealden,Business Development,Human Resources Assistant IV,Won,1/7/2024,mealdent@geocities.com,Active
31,Kaleb Safhill,Support,Research Associate,Zloty,7/17/2022,ksafhillu@nifty.com,Inactive
32,Dillon Deesly,Accounting,Safety Technician IV,Ruble,4/13/2022,ddeeslyv@drupal.org,Active
33,Hermione O'Rodane,Marketing,Librarian,Rupiah,8/23/2022,horodanew@tripadvisor.com,Active
34,Mair Buckley,Accounting,Nurse,Yuan Renminbi,3/28/2022,mbuckleyx@hugedomains.com,Inactive
35,Stearn Knibbs,Marketing,Analyst Programmer,Dollar,8/24/2022,sknibbsy@w3.org,Active
36,Milty Yeulet,Training,Office Assistant III,Krona,4/22/2023,myeuletz@nbcnews.com,Active
37,Elmore Ladon,Human Resources,Tax Accountant,Yuan Renminbi,2/23/2022,eladon10@sciencedaily.com,Active
38,Gibb Eltone,Engineering,Tax Accountant,Rupiah,6/16/2021,geltone11@list-manage.com,Active
39,Robinett Paddick,Business Development,Senior Developer,Tenge,3/25/2021,rpaddick12@clickbank.net,Active
40,Jamima Grolmann,Sales,Human Resources Assistant III,Rupiah,2/16/2022,jgrolmann13@ca.gov,Inactive
41,Glen Guilliland,Engineering,Staff Scientist,Euro,7/16/2022,gguilliland14@jiathis.com,Inactive
42,Katey Ferrier,Sales,Computer Systems Analyst III,Rupiah,8/11/2021,kferrier15@nih.gov,Active
43,Chadwick Purrier,Accounting,Senior Cost Accountant,Yuan Renminbi,9/14/2021,cpurrier16@microsoft.com,Active
44,Somerset Baggaley,Research and Development,Assistant Media Planner,Yuan Renminbi,11/20/2023,sbaggaley17@gravatar.com,Active
45,Darbie Dewerson,Sales,Assistant Professor,Zloty,1/29/2023,ddewerson18@utexas.edu,Active
46,Carmel Aleksandrikin,Engineering,Financial Analyst,Peso,11/17/2023,caleksandrikin19@reference.com,Active
47,Eduino Pedro,Product Management,Occupational Therapist,Peso,2/24/2023,epedro1a@xing.com,Inactive
48,Dillon Quilty,Support,Payment Adjustment Coordinator,Naira,8/23/2022,dquilty1b@columbia.edu,Active
49,Damara Savil,Business Development,Physical Therapy Assistant,Peso,12/24/2023,dsavil1c@miitbeian.gov.cn,Inactive
50,Vale Vasyushkhin,Engineering,Business Systems Development Analyst,Rupiah,11/19/2023,vvasyushkhin1d@businessinsider.com,Inactive
51,Sansone McKean,Product Management,Teacher,Yuan Renminbi,11/17/2021,smckean1e@ucoz.ru,Active
52,Kaela O'Donohue,Services,VP Marketing,Peso,3/18/2023,kodonohue1f@github.io,Inactive
53,Merrie Shepard,Research and Development,Accounting Assistant II,Real,7/4/2023,mshepard1g@spotify.com,Active
54,Paige Maffioni,Training,Staff Scientist,Dollar,1/19/2023,pmaffioni1h@ning.com,Active
55,Fanny Coverlyn,Accounting,Office Assistant II,Peso,6/6/2022,fcoverlyn1i@mysql.com,Active
56,Olwen Hundall,Accounting,Information Systems Manager,Yuan Renminbi,8/17/2023,ohundall1j@cyberchimps.com,Inactive
57,Burlie McMurthy,Services,Programmer II,Euro,10/4/2023,bmcmurthy1k@ucla.edu,Inactive
58,Nani McVaugh,Legal,Graphic Designer,Euro,3/11/2023,nmcvaugh1l@parallels.com,Inactive
59,Kacy De Lasci,Marketing,Web Developer II,Peso,12/7/2021,kde1m@seattletimes.com,Inactive
